ANIO,CCDD,NOMBREDD,CCPP,NOMBREPV,CCDI,NOMBREDI,CONGLOMERADO,NSELUA,UA,ESTRATO,RESFIN,REGION,Dominio,FACTOR,CODIGO,P102_1,P102_2,P901,P902,P903_1,P903_2,P903_3,P903_4,P903_5,P903_6,P903_7,P903_8,P903_9,P903_10,P903_11,P904_1,P904_2,P904_3,P904_4,P904_5,P904_6,P904_7,P904_8,P904_9,P905,P906,P907,P908_1,P908_2,P908_3,P908_4,P908_5,P908_6,P908_7,P908_8,OMICAP900
2015,21,PUNO,03,CARABAYA,07,ITUATA,16863,00031,0004, ,1,2,6,175.2358974359,1,1,1,2, , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2015,21,PUNO,03,CARABAYA,07,ITUATA,16863,00032,0005, ,1,2,6,175.2358974359,1,1,1,2, , , , , , , , , , , , , , , , , , , , , ,2, ,1,0,1,0,0,0,0,0,0, 
2015,21,PUNO,03,CARABAYA,07,ITUATA,16863,00042,0006, ,1,2,6,175.2358974359,1,1,1,2, , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2015,21,PUNO,03,CARABAYA,07,ITUATA,16863,00053,0007, ,1,2,6,175.2358974359,1,1,0,2, , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2015,21,PUNO,03,CARABAYA,07,ITUATA,16863,00055,0008, ,1,2,6,175.2358974359,1,1,1,2, , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2015,21,PUNO,03,CARABAYA,07,ITUATA,16863,00066,0009, ,1,2,6,175.2358974359,1,1,1,2, , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2015,21,PUNO,03,CARABAYA,07,ITUATA,16863,00080,0011, ,1,2,6,175.2358974359,1,1,0,2, , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2015,21,PUNO,03,CARABAYA,07,ITUATA,16863,00085,0012, ,1,2,6,175.2358974359,1,1,1,2, , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2015,21,PUNO,03,CARABAYA,07,ITUATA,16863,00094,0013, ,1,2,6,175.2358974359,1,1,1,2, , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2015,21,PUNO,03,CARABAYA,07,ITUATA,16863,00097,0014, ,1,2,6,175.2358974359,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2, ,2, , , , , , , , , 
2015,21,PUNO,03,CARABAYA,06,CRUCERO,16885,00006,0001, ,1,2,6,189.8388888889,1,0,1,2, , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2015,21,PUNO,03,CARABAYA,06,CRUCERO,16885,00026,0003, ,1,2,6,189.8388888889,1,1,1,2, , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2015,21,PUNO,03,CARABAYA,06,CRUCERO,16885,00028,0004, ,1,2,6,189.8388888889,1,1,1,2, , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2015,21,PUNO,03,CARABAYA,06,CRUCERO,16885,00054,0005, ,1,2,6,189.8388888889,1,0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,2, ,2, , , , , , , , , 
2015,21,PUNO,03,CARABAYA,06,CRUCERO,16885,00072,0007, ,1,2,6,189.8388888889,1,1,1,2, , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2015,21,PUNO,03,CARABAYA,06,CRUCERO,16885,00078,0008, ,1,2,6,189.8388888889,1,1,1,2, , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2015,21,PUNO,03,CARABAYA,06,CRUCERO,16885,00095,0009, ,1,2,6,189.8388888889,1,0,1,2, , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2015,21,PUNO,03,CARABAYA,06,CRUCERO,16885,00109,0010, ,1,2,6,189.8388888889,1,1,1,2, , , , , , , , , , , , , , , , , , , , , ,2, ,1,0,1,0,0,0,0,0,0, 
2015,21,PUNO,03,CARABAYA,06,CRUCERO,16885,00134,0011, ,1,2,6,189.8388888889,1,0,1,2, , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2015,21,PUNO,03,CARABAYA,06,CRUCERO,16885,00138,0012, ,1,2,6,189.8388888889,1,0,1,2, , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2015,21,PUNO,03,CARABAYA,06,CRUCERO,16885,00140,0013, ,1,2,6,189.8388888889,1,0,1,2, , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2015,21,PUNO,03,CARABAYA,06,CRUCERO,16885,00157,0014, ,1,2,6,189.8388888889,1,1,1,2, , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2015,21,PUNO,12,SANDIA,03,LIMBANI,16891,00009,0001, ,1,2,6,162.719047619,1,1,1,2, , , , , , , , , , , , , , , , , , , , , ,2, ,1,0,1,0,0,0,0,0,0, 
2015,21,PUNO,12,SANDIA,03,LIMBANI,16891,00022,0002, ,1,2,6,162.719047619,1,1,0,2, , , , , , , , , , , , , , , , , , , , , ,2, ,1,0,1,0,0,0,0,0,0, 
2015,21,PUNO,12,SANDIA,03,LIMBANI,16891,00025,0003, ,1,2,6,162.719047619,1,1,1,2, , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2015,21,PUNO,12,SANDIA,03,LIMBANI,16891,00041,0004, ,1,2,6,162.719047619,1,1,1,2, , , , , , , , , , , , , , , , , , , , , ,2, ,1,0,1,0,0,0,0,0,0, 
2015,21,PUNO,12,SANDIA,03,LIMBANI,16891,00045,0005, ,1,2,6,162.719047619,1,1,1,2, , , , , , , , , , , , , , , , , , , , , ,2, ,1,0,1,0,0,0,0,0,0, 
2015,21,PUNO,12,SANDIA,03,LIMBANI,16891,00056,0006, ,1,2,6,162.719047619,1,1,0,2, , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2015,21,PUNO,12,SANDIA,03,LIMBANI,16891,00065,0007, ,1,2,6,162.719047619,1,1,1,2, , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2015,21,PUNO,12,SANDIA,03,LIMBANI,16891,00081,0008, ,1,2,6,162.719047619,1,1,1,2, , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2015,21,PUNO,12,SANDIA,03,LIMBANI,16891,00098,0009, ,1,2,6,162.719047619,1,1,1,2, , , , , , , , , , , , , , , , , , , , , ,2, ,1,0,1,0,0,0,0,0,0, 
2015,21,PUNO,12,SANDIA,03,LIMBANI,16891,00099,0010, ,1,2,6,162.719047619,1,1,1,2, , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2015,21,PUNO,12,SANDIA,03,LIMBANI,16891,00116,0011, ,1,2,6,162.719047619,1,1,1,2, , , , , , , , , , , , , , , , , , , , , ,2, ,1,0,1,0,0,0,0,0,0, 
2015,21,PUNO,12,SANDIA,03,LIMBANI,16891,00123,0012, ,1,2,6,162.719047619,1,1,0,2, , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2015,21,PUNO,12,SANDIA,03,LIMBANI,16891,00137,0013, ,1,2,6,162.719047619,1,1,1,2, , , , , , , , , , , , , , , , , , , , , ,2, ,1,0,1,0,0,0,0,0,0, 
2015,21,PUNO,12,SANDIA,03,LIMBANI,16891,00152,0014, ,1,2,6,162.719047619,1,1,1,2, , , , , , , , , , , , , , , , , , , , , ,2, ,1,0,1,0,0,0,0,0,0, 
2015,21,PUNO,12,SANDIA,10,SAN PEDRO DE PUTINA PUNCO,16892,00001,0001, ,1,3,7,50.0595238095,1,1,0,2, , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2015,21,PUNO,12,SANDIA,10,SAN PEDRO DE PUTINA PUNCO,16892,00009,0002, ,1,3,7,50.0595238095,1,1,0,2, , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2015,21,PUNO,12,SANDIA,10,SAN PEDRO DE PUTINA PUNCO,16892,00011,0003, ,1,3,7,50.0595238095,1,1,1,2, , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2015,21,PUNO,12,SANDIA,10,SAN PEDRO DE PUTINA PUNCO,16892,00020,0004, ,1,3,7,50.0595238095,1,1,0,2, , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2015,21,PUNO,12,SANDIA,10,SAN PEDRO DE PUTINA PUNCO,16892,00028,0005, ,1,3,7,50.0595238095,1,1,1,2, , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2015,21,PUNO,12,SANDIA,10,SAN PEDRO DE PUTINA PUNCO,16892,00029,0006, ,1,3,7,50.0595238095,1,1,0,2, , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2015,21,PUNO,12,SANDIA,10,SAN PEDRO DE PUTINA PUNCO,16892,00036,0007, ,1,3,7,50.0595238095,1,1,1,2, , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2015,21,PUNO,12,SANDIA,10,SAN PEDRO DE PUTINA PUNCO,16892,00043,0008, ,1,3,7,50.0595238095,1,1,1,2, , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2015,21,PUNO,12,SANDIA,10,SAN PEDRO DE PUTINA PUNCO,16892,00052,0009, ,1,3,7,50.0595238095,1,1,0,2, , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2015,21,PUNO,12,SANDIA,10,SAN PEDRO DE PUTINA PUNCO,16892,00060,0010, ,1,3,7,50.0595238095,1,1,1,2, , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2015,21,PUNO,12,SANDIA,10,SAN PEDRO DE PUTINA PUNCO,16892,00067,0011, ,1,3,7,50.0595238095,1,1,1,2, , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2015,21,PUNO,12,SANDIA,10,SAN PEDRO DE PUTINA PUNCO,16892,00070,0012, ,1,3,7,50.0595238095,1,1,1,2, , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2015,21,PUNO,12,SANDIA,10,SAN PEDRO DE PUTINA PUNCO,16892,00080,0013, ,1,3,7,50.0595238095,1,1,1,2, , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2015,21,PUNO,12,SANDIA,10,SAN PEDRO DE PUTINA PUNCO,16892,00088,0014, ,1,3,7,50.0595238095,1,1,0,2, , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2015,21,PUNO,12,SANDIA,10,SAN PEDRO DE PUTINA PUNCO,16894,00012,0001, ,1,3,7,50.0595238095,1,1,0,2, , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2015,21,PUNO,12,SANDIA,10,SAN PEDRO DE PUTINA PUNCO,16894,00013,0002, ,1,3,7,50.0595238095,1,1,0,2, , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2015,21,PUNO,12,SANDIA,10,SAN PEDRO DE PUTINA PUNCO,16894,00030,0003, ,1,3,7,50.0595238095,1,1,0,2, , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2015,21,PUNO,12,SANDIA,10,SAN PEDRO DE PUTINA PUNCO,16894,00042,0004, ,1,3,7,50.0595238095,1,1,0,2, , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2015,21,PUNO,12,SANDIA,10,SAN PEDRO DE PUTINA PUNCO,16894,00052,0005, ,1,3,7,50.0595238095,1,1,0,2, , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2015,21,PUNO,12,SANDIA,10,SAN PEDRO DE PUTINA PUNCO,16894,00064,0006, ,1,3,7,50.0595238095,1,1,0,2, , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2015,21,PUNO,12,SANDIA,10,SAN PEDRO DE PUTINA PUNCO,16894,00076,0007, ,1,3,7,50.0595238095,1,1,0,2, , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2015,21,PUNO,12,SANDIA,10,SAN PEDRO DE PUTINA PUNCO,16894,00087,0008, ,2,3,7,50.0595238095,1,1,0,2, , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2015,21,PUNO,12,SANDIA,10,SAN PEDRO DE PUTINA PUNCO,16894,00101,0009, ,1,3,7,50.0595238095,1,1,0,2, , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2015,21,PUNO,12,SANDIA,10,SAN PEDRO DE PUTINA PUNCO,16894,00112,0010, ,1,3,7,50.0595238095,1,1,0,2, , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2015,21,PUNO,12,SANDIA,10,SAN PEDRO DE PUTINA PUNCO,16894,00122,0011, ,1,3,7,50.0595238095,1,1,1,2, , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2015,21,PUNO,12,SANDIA,10,SAN PEDRO DE PUTINA PUNCO,16894,00130,0012, ,1,3,7,50.0595238095,1,1,0,2, , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2015,21,PUNO,12,SANDIA,10,SAN PEDRO DE PUTINA PUNCO,16894,00140,0013, ,1,3,7,50.0595238095,1,1,1,2, , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2015,21,PUNO,12,SANDIA,10,SAN PEDRO DE PUTINA PUNCO,16894,00148,0014, ,1,3,7,50.0595238095,1,1,1,2, , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2015,21,PUNO,12,SANDIA,10,SAN PEDRO DE PUTINA PUNCO,16896,00057,0005, ,1,3,7,63.7121212121,1,0,1,2, , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
