ANIO,CCDD,NOMBREDD,CCPP,NOMBREPV,CCDI,NOMBREDI,CONGLOMERADO,NSELUA,UA,RESFIN,REGION,DOMINIO,FACTOR,CODIGO,P102_1,P102_2,P901,P902,P903_1,P903_2,P903_3,P903_4,P903_5,P903_6,P903_7,P903_8,P903_9,P903_10,P903_11,P904_1,P904_2,P904_3,P904_4,P904_5,P904_6,P904_7,P904_8,P904_9,P904A,P905,P906,P907,P908_1,P908_2,P908_3,P908_4,P908_5,P908_6,P908_7,P908_8,OMICAP900
2022,21,PUNO,12,SANDIA,10,SAN PEDRO DE PUTINA PUNCO,16895,00007,3,1,3,7,37.3777777777778,1,1,0,2, , , , , , , , , , , , , , , , , , , , , , ,2, ,1,0,1,0,0,0,0,0,0, 
2022,21,PUNO,12,SANDIA,10,SAN PEDRO DE PUTINA PUNCO,16895,00008,4,1,3,7,37.3777777777778,1,1,0,2, , , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2022,21,PUNO,12,SANDIA,10,SAN PEDRO DE PUTINA PUNCO,16895,00011,5,1,3,7,37.3777777777778,1,1,0,2, , , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2022,21,PUNO,12,SANDIA,10,SAN PEDRO DE PUTINA PUNCO,16895,00034,6,1,3,7,37.3777777777778,1,1,1,2, , , , , , , , , , , , , , , , , , , , , , ,2, ,1,0,1,0,0,0,0,0,0, 
2022,21,PUNO,12,SANDIA,10,SAN PEDRO DE PUTINA PUNCO,16895,00038,7,1,3,7,37.3777777777778,1,1,0,2, , , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2022,21,PUNO,12,SANDIA,10,SAN PEDRO DE PUTINA PUNCO,16895,00039,8,1,3,7,37.3777777777778,1,1,0,2, , , , , , , , , , , , , , , , , , , , , , ,2, ,1,0,1,0,0,0,0,0,0, 
2022,21,PUNO,12,SANDIA,10,SAN PEDRO DE PUTINA PUNCO,16895,00047,9,1,3,7,37.3777777777778,1,1,1,2, , , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2022,21,PUNO,12,SANDIA,10,SAN PEDRO DE PUTINA PUNCO,16895,00048,10,1,3,7,37.3777777777778,1,1,0,2, , , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2022,21,PUNO,12,SANDIA,10,SAN PEDRO DE PUTINA PUNCO,16895,00051,11,1,3,7,37.3777777777778,1,1,0,2, , , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2022,21,PUNO,12,SANDIA,10,SAN PEDRO DE PUTINA PUNCO,16895,00088,12,1,3,7,37.3777777777778,1,1,0,2, , , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2022,21,PUNO,12,SANDIA,10,SAN PEDRO DE PUTINA PUNCO,16895,00093,13,1,3,7,37.3777777777778,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0, ,2, ,2, , , , , , , , , 
2022,21,PUNO,12,SANDIA,10,SAN PEDRO DE PUTINA PUNCO,16895,00099,14,1,3,7,37.3777777777778,1,1,1,2, , , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2022,21,PUNO,12,SANDIA,10,SAN PEDRO DE PUTINA PUNCO,16895,00105,15,1,3,7,37.3777777777778,1,1,0,2, , , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2022,21,PUNO,12,SANDIA,10,SAN PEDRO DE PUTINA PUNCO,16900,00001,1,1,3,7,37.3777777777778,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0, ,2, ,2, , , , , , , , , 
2022,21,PUNO,12,SANDIA,10,SAN PEDRO DE PUTINA PUNCO,16900,00007,2,1,3,7,37.3777777777778,1,1,0,2, , , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2022,21,PUNO,12,SANDIA,10,SAN PEDRO DE PUTINA PUNCO,16900,00011,3,1,3,7,37.3777777777778,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0, ,2, ,2, , , , , , , , , 
2022,21,PUNO,12,SANDIA,10,SAN PEDRO DE PUTINA PUNCO,16900,00017,4,1,3,7,37.3777777777778,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0, ,2, ,1,0,0,1,0,0,0,0,0, 
2022,21,PUNO,12,SANDIA,10,SAN PEDRO DE PUTINA PUNCO,16900,00024,5,1,3,7,37.3777777777778,1,1,0,2, , , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2022,21,PUNO,12,SANDIA,10,SAN PEDRO DE PUTINA PUNCO,16900,00026,6,1,3,7,37.3777777777778,1,1,0,2, , , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2022,21,PUNO,12,SANDIA,10,SAN PEDRO DE PUTINA PUNCO,16900,00042,7,1,3,7,37.3777777777778,1,1,1,2, , , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2022,21,PUNO,12,SANDIA,10,SAN PEDRO DE PUTINA PUNCO,16900,00044,8,1,3,7,37.3777777777778,1,1,0,2, , , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2022,21,PUNO,12,SANDIA,10,SAN PEDRO DE PUTINA PUNCO,16900,00050,9,1,3,7,37.3777777777778,1,1,1,2, , , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2022,21,PUNO,12,SANDIA,10,SAN PEDRO DE PUTINA PUNCO,16900,00057,10,1,3,7,37.3777777777778,1,1,0,2, , , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2022,21,PUNO,12,SANDIA,10,SAN PEDRO DE PUTINA PUNCO,16900,00065,11,1,3,7,37.3777777777778,1,1,0,2, , , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2022,21,PUNO,12,SANDIA,10,SAN PEDRO DE PUTINA PUNCO,16900,00067,12,1,3,7,37.3777777777778,1,1,0,2, , , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2022,21,PUNO,12,SANDIA,10,SAN PEDRO DE PUTINA PUNCO,16900,00081,13,1,3,7,37.3777777777778,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0, ,2, ,2, , , , , , , , , 
2022,21,PUNO,12,SANDIA,10,SAN PEDRO DE PUTINA PUNCO,16900,00100,15,1,3,7,37.3777777777778,1,1,1,2, , , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2022,21,PUNO,12,SANDIA,10,SAN PEDRO DE PUTINA PUNCO,16904,00005,1,1,3,7,37.3777777777778,1,1,0,2, , , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2022,21,PUNO,12,SANDIA,10,SAN PEDRO DE PUTINA PUNCO,16904,00006,2,1,3,7,37.3777777777778,1,1,0,2, , , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2022,21,PUNO,12,SANDIA,10,SAN PEDRO DE PUTINA PUNCO,16904,00013,3,1,3,7,37.3777777777778,1,1,0,2, , , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2022,21,PUNO,12,SANDIA,10,SAN PEDRO DE PUTINA PUNCO,16904,00024,4,1,3,7,37.3777777777778,1,1,0,2, , , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2022,21,PUNO,12,SANDIA,10,SAN PEDRO DE PUTINA PUNCO,16904,00028,5,1,3,7,37.3777777777778,1,1,0,2, , , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
