ANIO,CCDD,NOMBREDD,CCPP,NOMBREPV,CCDI,NOMBREDI,CONGLOMERADO,NSELUA,UA,ESTRATO,RESFIN,REGION,DOMINIO,FACTOR,CODIGO,P101A,P102_1,P102_2,P901,P902,P903_1,P903_2,P903_3,P903_4,P903_5,P903_6,P903_7,P903_8,P903_9,P903_10,P903_11,P904_1,P904_2,P904_3,P904_4,P904_5,P904_6,P904_7,P904_8,P904_9,P905,P906,P907,P908_1,P908_2,P908_3,P908_4,P908_5,P908_6,P908_7,P908_8,OMICAP900
2019,21,PUNO,03,CARABAYA,09,SAN GABAN,16830,00062,7, ,1,3,7,50.0595238095238,1, ,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2, ,2, , , , , , , , , 
2019,21,PUNO,03,CARABAYA,09,SAN GABAN,16830,00074,8, ,1,3,7,50.0595238095238,1, ,1,1,2, , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2019,21,PUNO,03,CARABAYA,09,SAN GABAN,16830,00086,9, ,1,3,7,50.0595238095238,1, ,1,0,2, , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2019,21,PUNO,03,CARABAYA,09,SAN GABAN,16830,00099,10, ,1,3,7,50.0595238095238,1, ,1,1,2, , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2019,21,PUNO,03,CARABAYA,09,SAN GABAN,16830,00120,11, ,1,3,7,50.0595238095238,1, ,1,1,2, , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2019,21,PUNO,03,CARABAYA,09,SAN GABAN,16830,00132,12, ,1,3,7,50.0595238095238,1, ,1,0,2, , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2019,21,PUNO,03,CARABAYA,09,SAN GABAN,16830,00135,13, ,1,3,7,50.0595238095238,1, ,1,1,2, , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2019,21,PUNO,03,CARABAYA,09,SAN GABAN,16830,00146,14, ,1,3,7,50.0595238095238,1, ,1,1,2, , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2019,21,PUNO,03,CARABAYA,09,SAN GABAN,16831,00009,1, ,1,3,7,50.0595238095238,1, ,1,1,2, , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2019,21,PUNO,03,CARABAYA,09,SAN GABAN,16831,00012,2, ,1,3,7,50.0595238095238,1, ,1,1,2, , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2019,21,PUNO,03,CARABAYA,09,SAN GABAN,16831,00027,4, ,1,3,7,50.0595238095238,1, ,1,1,2, , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2019,21,PUNO,03,CARABAYA,09,SAN GABAN,16831,00029,5, ,1,3,7,50.0595238095238,1, ,1,0,2, , , , , , , , , , , , , , , , , , , , , ,2, ,1,0,1,0,0,0,0,0,0, 
2019,21,PUNO,03,CARABAYA,09,SAN GABAN,16831,00041,6, ,1,3,7,50.0595238095238,1, ,1,0,2, , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2019,21,PUNO,03,CARABAYA,09,SAN GABAN,16831,00042,7, ,1,3,7,50.0595238095238,1, ,1,0,2, , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2019,21,PUNO,03,CARABAYA,09,SAN GABAN,16831,00061,9, ,1,3,7,50.0595238095238,1, ,1,0,2, , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2019,21,PUNO,03,CARABAYA,09,SAN GABAN,16831,00071,10, ,1,3,7,50.0595238095238,1, ,1,1,2, , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2019,21,PUNO,03,CARABAYA,09,SAN GABAN,16831,00080,11, ,1,3,7,50.0595238095238,1, ,1,0,2, , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2019,21,PUNO,03,CARABAYA,09,SAN GABAN,16831,00088,12, ,1,3,7,50.0595238095238,1, ,1,1,2, , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2019,21,PUNO,03,CARABAYA,09,SAN GABAN,16831,00097,13, ,1,3,7,50.0595238095238,1, ,1,0,2, , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2019,21,PUNO,03,CARABAYA,09,SAN GABAN,16831,00103,14, ,1,3,7,50.0595238095238,1, ,1,1,2, , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2019,21,PUNO,03,CARABAYA,09,SAN GABAN,16833,00008,1, ,1,3,7,50.0595238095238,1, ,1,1,2, , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2019,21,PUNO,03,CARABAYA,09,SAN GABAN,16833,00015,2, ,1,3,7,50.0595238095238,1, ,1,0,2, , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2019,21,PUNO,03,CARABAYA,09,SAN GABAN,16833,00040,3, ,1,3,7,50.0595238095238,1, ,1,0,2, , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2019,21,PUNO,03,CARABAYA,09,SAN GABAN,16833,00051,4, ,1,3,7,50.0595238095238,1, ,1,1,2, , , , , , , , , , , , , , , , , , , , , ,2, ,1,0,1,0,0,0,0,0,0, 
2019,21,PUNO,03,CARABAYA,09,SAN GABAN,16833,00068,5, ,1,3,7,50.0595238095238,1, ,1,1,2, , , , , , , , , , , , , , , , , , , , , ,2, ,1,0,1,0,0,0,0,0,0, 
2019,21,PUNO,03,CARABAYA,09,SAN GABAN,16833,00087,6, ,1,3,7,50.0595238095238,1, ,1,1,2, , , , , , , , , , , , , , , , , , , , , ,2, ,1,0,1,0,0,0,0,0,0, 
2019,21,PUNO,03,CARABAYA,09,SAN GABAN,16833,00106,7, ,1,3,7,50.0595238095238,1, ,1,1,2, , , , , , , , , , , , , , , , , , , , , ,2, ,1,0,0,0,0,1,0,0,0, 
2019,21,PUNO,03,CARABAYA,09,SAN GABAN,16833,00130,8, ,1,3,7,50.0595238095238,1, ,1,1,2, , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2019,21,PUNO,03,CARABAYA,09,SAN GABAN,16833,00140,9, ,1,3,7,50.0595238095238,1, ,1,1,2, , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2019,21,PUNO,03,CARABAYA,09,SAN GABAN,16833,00162,10, ,1,3,7,50.0595238095238,1, ,1,0,2, , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2019,21,PUNO,03,CARABAYA,09,SAN GABAN,16833,00188,11, ,1,3,7,50.0595238095238,1, ,1,1,2, , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2019,21,PUNO,03,CARABAYA,09,SAN GABAN,16833,00198,12, ,1,3,7,50.0595238095238,1, ,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2, ,2, , , , , , , , , 
2019,21,PUNO,03,CARABAYA,09,SAN GABAN,16833,00207,13, ,1,3,7,50.0595238095238,1, ,1,1,2, , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2019,21,PUNO,03,CARABAYA,09,SAN GABAN,16833,00209,14, ,1,3,7,50.0595238095238,1, ,1,0,2, , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2019,21,PUNO,03,CARABAYA,03,AYAPATA,16837,00002,1, ,1,2,6,175.235897435897,1, ,1,0,2, , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2019,21,PUNO,03,CARABAYA,03,AYAPATA,16837,00016,2, ,1,2,6,175.235897435897,1, ,1,0,2, , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2019,21,PUNO,03,CARABAYA,03,AYAPATA,16837,00017,3, ,1,2,6,175.235897435897,1, ,1,1,2, , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
