ANIO,CCDD,NOMBREDD,CCPP,NOMBREPV,CCDI,NOMBREDI,NSEGM,ID_PROD,UA,RESFIN,REGION,ESTRATO,FACTOR_PRODUCTOR,CODIGO,P101A,P142_1,P142_2,P142_3,P901,P902,P903_1,P903_2,P903_3,P903_4,P903_5,P903_6,P903_7,P903_8,P903_9,P903_10,P903_11,P904_1,P904_2,P904_3,P904_4,P904_5,P904_6,P904_7,P904_8,P904_9,P904A,P905,P906,P907,P908_1,P908_2,P908_3,P908_4,P908_5,P908_6,P908_7,P908_8,OMICAP900
2024,21,PUNO,13,YUNGUYO,03,COPANI,10889,06,06,1,2,211341003,55.8753280639648,1, ,1,1,0,2, , , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2024,21,PUNO,13,YUNGUYO,03,COPANI,10889,07,07,1,2,211341003,36.7954483032227,1, ,1,1,0,2, , , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2024,21,PUNO,13,YUNGUYO,03,COPANI,10889,08,08,1,2,211341003,31.8215637207031,1, ,1,1,0,2, , , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2024,21,PUNO,13,YUNGUYO,03,COPANI,10889,09,09,1,2,211341003,18.0492420196533,1, ,1,1,0,2, , , , , , , , , , , , , , , , , , , , , , ,2, ,1,0,1,0,0,0,0,0,0, 
2024,21,PUNO,13,YUNGUYO,03,COPANI,10889,10,10,1,2,211341003,78.0469284057617,1, ,1,1,0,2, , , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2024,21,PUNO,13,YUNGUYO,03,COPANI,10889,11,11,1,2,211341003,81.5936889648438,1, ,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0, ,2, ,2, , , , , , , , , 
2024,21,PUNO,13,YUNGUYO,03,COPANI,10889,12,12,1,2,211341003,8.38621616363525,1, ,1,1,0,2, , , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2024,21,PUNO,13,YUNGUYO,03,COPANI,10889,13,13,1,2,211341003,6.71149301528931,1, ,1,1,0,2, , , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2024,21,PUNO,13,YUNGUYO,03,COPANI,10889,14,14,1,2,211341003,28.4651393890381,1, ,1,0,0,2, , , , , , , , , , , , , , , , , , , , , , ,2, ,1,0,1,0,0,0,0,0,0, 
2024,21,PUNO,13,YUNGUYO,03,COPANI,10889,15,15,1,2,211341003,3.42410135269165,1, ,1,1,0,2, , , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2024,21,PUNO,13,YUNGUYO,03,COPANI,10889,16,16,1,2,211341003,12.8534250259399,1, ,1,1,0,2, , , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2024,21,PUNO,13,YUNGUYO,02,ANAPIA,10890,01,01,1,2,211341003,3.02346348762512,1, ,1,1,0,2, , , , , , , , , , , , , , , , , , , , , , ,2, ,1,0,1,0,0,0,0,0,0, 
2024,21,PUNO,13,YUNGUYO,02,ANAPIA,10890,02,02,1,2,211341003,19.8325061798096,1, ,1,1,0,2, , , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2024,21,PUNO,13,YUNGUYO,02,ANAPIA,10890,03,03,1,2,211341003,40.6427612304688,1, ,1,1,0,2, , , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2024,21,PUNO,13,YUNGUYO,02,ANAPIA,10890,04,04,1,2,211341003,447.718078613281,1, ,1,1,0,2, , , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2024,21,PUNO,13,YUNGUYO,02,ANAPIA,10890,05,05,1,2,211341003,196.267242431641,1, ,1,1,0,2, , , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2024,21,PUNO,13,YUNGUYO,02,ANAPIA,10890,06,06,1,2,211341003,355.615692138672,1, ,1,1,0,2, , , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2024,21,PUNO,13,YUNGUYO,02,ANAPIA,10890,07,07,1,2,211341003,13.4168376922607,1, ,1,1,0,2, , , , , , , , , , , , , , , , , , , , , , ,2, ,1,0,1,0,0,0,0,0,0, 
2024,21,PUNO,13,YUNGUYO,02,ANAPIA,10890,08,08,1,2,211341003,10.5491333007813,1, ,1,1,0,2, , , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2024,21,PUNO,13,YUNGUYO,01,YUNGUYO,10891,01,01,1,2,211341003,35.583984375,1, ,1,1,0,2, , , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
