ANIO,CCDD,NOMBREDD,CCPP,NOMBREPV,CCDI,NOMBREDI,CONGLOMERADO,NSELUA,UA,ESTRATO,RESFIN,REGION,DOMINIO,FACTOR,CODIGO,P101A,P102_1,P102_2,P1001A_1,P1001A_2A_1,P1001A_2A_2,P1001A_2B_1,P1001A_2B_2,P1001A_2A_1C,P1001A_2A_2C,P1001A_2B_1C,P1001A_2B_2C,P1001A_3,P1001A_4,P1001A_5,P1001A_5A,P1001A_5B,P1001A_6A,P1001A_6B,P1001A_6C,P1001A_TOTAL,P1002B_1,P1002B_1A,P1002B_1B,P1002B_2,P1002B_3,P1002B_4,P1002B_5,P1002B_6,P1002B_7A_1,P1002B_7A_2,P1002B_7B_1,P1002B_7B_2,P1002B_7A_1C,P1002B_7A_2C,P1002B_7B_1C,P1002B_7B_2C,P1002B_8,P1002B_9,P1002B_9A,P1002B_9B,P1002B_10A,P1002B_10B,P1002B_TOTAL,P1000_TOTAL,OMICAP1000
2019,21,PUNO,03,CARABAYA,08,OLLACHEA,16822,00007,1, ,1,2,6,162.719047619048,1, ,1,1,0,0,0,1125,0, , ,5, ,0,0,875,0,0,0,0,80,2080,12500, , ,45,0,150,0,0,0,0,0,0, , , , ,0,0,0,0,0,50,12745,14825, 
2019,21,PUNO,03,CARABAYA,08,OLLACHEA,16822,00021,2, ,1,2,6,162.719047619048,1, ,1,1,0,0,0,90,50, , ,1,1,0,0,750,0,0,0,0,60,950,18500, , ,0,0,300,0,0,0,0,0,0, , , , ,0,0,0,0,0,30,18830,19780, 
2019,21,PUNO,03,CARABAYA,08,OLLACHEA,16822,00027,3, ,1,2,6,162.719047619048,1, ,1,1,0,0,0,0,0, , , , ,0,0,375,0,0,0,0,50,425,2300, , ,0,0,200,0,0,0,0,0,0, , , , ,0,0,0,0,0,20,2520,2945, 
2019,21,PUNO,03,CARABAYA,08,OLLACHEA,16822,00029,4, ,1,2,6,162.719047619048,1, ,1,1,0,0,0,0,0, , , , ,0,0,625,0,0,0,0,20,645,1700, , ,0,0,150,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,1850,2495, 
2019,21,PUNO,03,CARABAYA,08,OLLACHEA,16822,00041,5, ,1,2,6,162.719047619048,1, ,1,1,0,0,0,0,0, , , , ,0,0,500,0,0,0,0,0,500,6328, , ,0,0,150,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,6478,6978, 
2019,21,PUNO,03,CARABAYA,08,OLLACHEA,16822,00042,6, ,1,2,6,162.719047619048,1, ,1,1,0,0,0,300,0, , ,2, ,0,0,625,0,0,0,0,50,975,1400, , ,0,0,10,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,1410,2385, 
2019,21,PUNO,03,CARABAYA,08,OLLACHEA,16822,00052,7, ,1,2,6,162.719047619048,1, ,1,1,0,0,0,140,100, , ,2,2,0,0,812,0,0,0,0,40,1092,1850, , ,0,0,120,0,0,0,0,0,0, , , , ,0,0,0,0,0,350,2320,3412, 
2019,21,PUNO,03,CARABAYA,08,OLLACHEA,16822,00060,8, ,1,2,6,162.719047619048,1, ,1,1,0,0,0,0,0, , , , ,0,0,375,0,0,0,0,60,435,2500, , ,0,0,0,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,2500,2935, 
2019,21,PUNO,03,CARABAYA,08,OLLACHEA,16822,00064,9, ,1,2,6,162.719047619048,1, ,1,1,0,0,0,700,100, , ,2,2,0,0,2000,0,0,0,0,100,2900,2500, , ,0,0,220,0,0,0,0,0,0, , , , ,1020,0,0,0,0,250,3990,6890, 
2019,21,PUNO,03,CARABAYA,08,OLLACHEA,16822,00065,10, ,1,2,6,162.719047619048,1, ,1,1,0,0,0,60,60, , ,1,1,0,0,375,0,0,0,0,45,540,960, , ,0,0,0,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,960,1500, 
