ANIO,CCDD,NOMBREDD,CCPP,NOMBREPV,CCDI,NOMBREDI,CONGLOMERADO,NSELUA,UA,ESTRATO,RESFIN,REGION,DOMINIO,FACTOR,CODIGO,P102_1,P102_2,P1001A_1,P1001A_2A_1,P1001A_2A_2,P1001A_2B_1,P1001A_2B_2,P1001A_2A_1C,P1001A_2A_2C,P1001A_2B_1C,P1001A_2B_2C,P1001A_3,P1001A_4,P1001A_5,P1001A_5A,P1001A_5B,P1001A_6A,P1001A_6B,P1001A_6C,P1001A_TOTAL,P1002B_1,P1002B_1A,P1002B_1B,P1002B_2,P1002B_3,P1002B_4,P1002B_5,P1002B_6,P1002B_7A_1,P1002B_7A_2,P1002B_7B_1,P1002B_7B_2,P1002B_7A_1C,P1002B_7A_2C,P1002B_7B_1C,P1002B_7B_2C,P1002B_8,P1002B_9,P1002B_9A,P1002B_9B,P1002B_10A,P1002B_10B,P1002B_TOTAL,P1000_TOTAL,OMICAP1000
2017,21,PUNO,03,CARABAYA,08,OLLACHEA,16823,00038,4, ,1,2,6,162.719047619048,1,1,1,0,0,0,0,0, , , , ,0,0,960,0,0,0,0,0,960,300, , ,0,0,0,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,300,1260, 
2017,21,PUNO,03,CARABAYA,08,OLLACHEA,16823,00045,5, ,1,2,6,162.719047619048,1,1,1,0,0,0,0,0, , , , ,0,0,660,0,0,0,0,0,660,200, , ,0,0,48,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,248,908, 
2017,21,PUNO,03,CARABAYA,08,OLLACHEA,16823,00063,6, ,1,2,6,162.719047619048,1,1,1,0,0,0,0,0, , , , ,0,0,420,0,0,0,0,0,420,200, , ,0,0,0,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,200,620, 
2017,21,PUNO,03,CARABAYA,08,OLLACHEA,16823,00080,7, ,1,2,6,162.719047619048,1,1,1,0,0,0,0,0, , , , ,0,0,1950,0,0,0,0,0,1950,800, , ,0,0,60,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,860,2810, 
2017,21,PUNO,03,CARABAYA,08,OLLACHEA,16823,00093,8, ,1,2,6,162.719047619048,1,1,1,0,0,0,0,0, , , , ,0,0,645,0,0,0,0,0,645,100, , ,0,0,0,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,100,745, 
2017,21,PUNO,03,CARABAYA,08,OLLACHEA,16823,00104,9, ,1,2,6,162.719047619048,1,1,1,0,0,0,0,0, , , , ,0,0,675,0,0,0,0,0,675,200, , ,0,0,0,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,200,875, 
2017,21,PUNO,03,CARABAYA,08,OLLACHEA,16823,00108,10, ,1,2,6,162.719047619048,1,1,1,0,0,0,0,0, , , , ,0,0,3800,0,0,0,0,30,3830,500, , ,0,0,40,0,100,0,0,0,0, , , , ,0,0,0,0,0,0,640,4470, 
2017,21,PUNO,03,CARABAYA,08,OLLACHEA,16823,00125,11, ,1,2,6,162.719047619048,1,1,1,0,0,0,0,0, , , , ,0,0,60,0,0,0,0,0,60,200, , ,0,0,20,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,220,280, 
2017,21,PUNO,03,CARABAYA,08,OLLACHEA,16823,00147,12, ,1,2,6,162.719047619048,1,1,1,0,0,0,480,0, , ,2, ,0,0,0,0,0,0,0,0,480,700, , ,0,0,35,0,0,0,0,0,0, , , , ,0,0,0,0,0,20,755,1235, 
2017,21,PUNO,03,CARABAYA,08,OLLACHEA,16823,00169,14, ,1,2,6,162.719047619048,1,1,0,0,0,0,0,0, , , , ,0,0,0,350,0,0,0,0,350, , , , , , , , , , , , , , , , , , , , , , , ,350, 
2017,21,PUNO,03,CARABAYA,09,SAN GABAN,16833,00008,1, ,1,3,7,50.0595238095238,1,1,1,0,0,0,0,0, , , , ,0,0,0,0,0,0,150,0,150,100, , ,0,0,0,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,100,250, 
2017,21,PUNO,03,CARABAYA,09,SAN GABAN,16833,00015,2, ,1,3,7,50.0595238095238,1,1,0,0,0,0,320,0, , ,2, ,0,0,0,0,0,0,0,40,360, , , , , , , , , , , , , , , , , , , , , , , ,360, 
2017,21,PUNO,03,CARABAYA,09,SAN GABAN,16833,00040,3, ,1,3,7,50.0595238095238,1,1,0,0,0,0,80,0, , ,2, ,0,0,0,0,0,0,0,35,115, , , , , , , , , , , , , , , , , , , , , , , ,115, 
2017,21,PUNO,03,CARABAYA,09,SAN GABAN,16833,00051,4, ,1,3,7,50.0595238095238,1,1,1,0,0,0,0,120, , , ,3,0,0,0,0,0,0,0,0,120,150, , ,10,0,20,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,180,300, 
2017,21,PUNO,03,CARABAYA,09,SAN GABAN,16833,00068,5, ,1,3,7,50.0595238095238,1,1,1,0,0,0,0,0, , , , ,0,0,270,0,0,0,0,30,300,300, , ,8,0,10,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,318,618, 
2017,21,PUNO,03,CARABAYA,09,SAN GABAN,16833,00087,6, ,1,3,7,50.0595238095238,1,1,1,0,0,0,80,35, , ,2,1,0,0,172,0,0,0,0,90,377,250, , ,5,0,10,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,265,642, 
2017,21,PUNO,03,CARABAYA,09,SAN GABAN,16833,00106,7, ,1,3,7,50.0595238095238,1,1,1,0,0,0,120,30, , ,3,1,0,0,420,0,0,0,0,0,570,350, , ,0,0,70,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,420,990, 
2017,21,PUNO,03,CARABAYA,09,SAN GABAN,16833,00130,8, ,1,3,7,50.0595238095238,1,1,1,0,0,0,0,0, , , , ,0,0,90,0,0,0,0,0,90,350, , ,10,0,10,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,370,460, 
2017,21,PUNO,03,CARABAYA,09,SAN GABAN,16833,00140,9, ,1,3,7,50.0595238095238,1,1,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , ,0, 
2017,21,PUNO,03,CARABAYA,09,SAN GABAN,16833,00162,10, ,1,3,7,50.0595238095238,1,1,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,0,20,20, , , , , , , , , , , , , , , , , , , , , , , ,20, 
2017,21,PUNO,03,CARABAYA,09,SAN GABAN,16833,00188,11, ,1,3,7,50.0595238095238,1,1,1,0,0,0,100,0, , ,2, ,0,0,0,0,0,0,0,40,140,200, , ,0,0,0,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,200,340, 
2017,21,PUNO,03,CARABAYA,09,SAN GABAN,16833,00198,12, ,1,3,7,50.0595238095238,1,1,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , ,0, 
2017,21,PUNO,03,CARABAYA,09,SAN GABAN,16833,00207,13, ,1,3,7,50.0595238095238,1,1,1,0,0,0,100,0, , ,2, ,0,0,0,0,0,0,0,0,100,200, , ,0,0,0,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,200,300, 
2017,21,PUNO,03,CARABAYA,09,SAN GABAN,16833,00209,14, ,1,3,7,50.0595238095238,1,1,1,0,0,0,0,0, , , , ,0,0,0,0,0,0,0,20,20,100, , ,0,0,0,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,100,120, 
2017,21,PUNO,03,CARABAYA,07,ITUATA,16863,00001,1, ,1,2,6,162.719047619048,1,1,0,0,0,0,0,0, , , , ,0,0,240,0,0,0,0,0,240, , , , , , , , , , , , , , , , , , , , , , , ,240, 
