ANIO,CCDD,NOMBREDD,CCPP,NOMBREPV,CCDI,NOMBREDI,CONGLOMERADO,NSELUA,UA,ESTRATO,RESFIN,REGION,DOMINIO,FACTOR,CODIGO,P101A,P102_1,P102_2,P1001A_1,P1001A_2A_1,P1001A_2A_2,P1001A_2B_1,P1001A_2B_2,P1001A_2A_1C,P1001A_2A_2C,P1001A_2B_1C,P1001A_2B_2C,P1001A_3,P1001A_4,P1001A_5,P1001A_5A,P1001A_5B,P1001A_6A,P1001A_6B,P1001A_6C,P1001A_TOTAL,P1002B_1,P1002B_1A,P1002B_1B,P1002B_2,P1002B_3,P1002B_4,P1002B_5,P1002B_6,P1002B_7A_1,P1002B_7A_2,P1002B_7B_1,P1002B_7B_2,P1002B_7A_1C,P1002B_7A_2C,P1002B_7B_1C,P1002B_7B_2C,P1002B_8,P1002B_9,P1002B_9A,P1002B_9B,P1002B_10A,P1002B_10B,P1002B_TOTAL,P1000_TOTAL,OMICAP1000
2018,21,PUNO,03,CARABAYA,08,OLLACHEA,16823,00069,6, ,1,2,6,162.719047619048,1, ,1,1,0,0,0,0,0, , , , ,0,0,230,0,0,0,0,0,230,60, , ,0,0,40,0,0,0,0,0,0, , , , ,500,0,0,0,0,0,600,830, 
2018,21,PUNO,03,CARABAYA,08,OLLACHEA,16823,00075,7, ,1,2,6,162.719047619048,1, ,1,1,0,0,0,0,0, , , , ,0,0,176,0,0,0,0,0,176,50, , ,0,0,20,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,70,246, 
2018,21,PUNO,03,CARABAYA,08,OLLACHEA,16823,00083,8, ,1,2,6,162.719047619048,1, ,1,1,0,0,0,0,0, , , , ,0,0,525,0,0,0,0,0,525,26, , ,0,0,0,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,26,551, 
2018,21,PUNO,03,CARABAYA,08,OLLACHEA,16823,00088,9, ,1,2,6,162.719047619048,1, ,1,1,0,0,0,0,0, , , , ,0,0,140,0,0,0,0,0,140,50, , ,0,0,20,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,70,210, 
2018,21,PUNO,03,CARABAYA,08,OLLACHEA,16823,00112,10, ,1,2,6,162.719047619048,1, ,1,1,0,0,0,0,0, , , , ,0,0,120,0,0,0,0,0,120,30, , ,0,0,40,35,0,0,0,0,0, , , , ,0,0,0,0,0,0,105,225, 
2018,21,PUNO,03,CARABAYA,08,OLLACHEA,16823,00118,11, ,1,2,6,162.719047619048,1, ,1,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , ,0, 
2018,21,PUNO,03,CARABAYA,08,OLLACHEA,16823,00129,12, ,1,2,6,162.719047619048,1, ,1,1,0,0,0,0,0, , , , ,0,0,69,0,0,0,0,0,69,50, , ,0,0,250,40,0,0,0,0,0, , , , ,0,0,0,0,0,0,340,409, 
2018,21,PUNO,03,CARABAYA,08,OLLACHEA,16823,00138,13, ,1,2,6,162.719047619048,1, ,1,1,0,0,0,0,0, , , , ,0,0,0,0,0,0,0,0,0,10, , ,0,0,0,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,10,10, 
2018,21,PUNO,03,CARABAYA,08,OLLACHEA,16823,00162,14, ,1,2,6,162.719047619048,1, ,1,1,0,0,0,0,0, , , , ,0,0,0,0,0,0,0,0,0,30, , ,0,0,0,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,30,30, 
2018,21,PUNO,03,CARABAYA,09,SAN GABAN,16831,00002,1, ,1,3,7,50.0595238095238,1, ,1,1,0,0,0,0,40, , , ,1,0,0,2800,0,0,0,0,0,2840,286, , ,0,0,0,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,286,3126, 
2018,21,PUNO,03,CARABAYA,09,SAN GABAN,16831,00022,2, ,1,3,7,50.0595238095238,1, ,1,1,0,0,0,80,0, , ,1, ,0,0,0,0,0,0,0,0,80,30, , ,0,0,0,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,30,110, 
2018,21,PUNO,03,CARABAYA,09,SAN GABAN,16831,00032,3, ,1,3,7,50.0595238095238,1, ,1,1,0,0,0,2500,0, , ,10, ,0,0,0,0,0,0,0,0,2500,280, , ,0,0,0,5,0,0,0,0,0, , , , ,0,0,0,0,0,0,285,2785, 
2018,21,PUNO,03,CARABAYA,09,SAN GABAN,16831,00038,4, ,1,3,7,50.0595238095238,1, ,1,1,0,0,0,0,0, , , , ,0,0,0,0,0,0,0,90,90,105, , ,0,0,0,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,105,195, 
2018,21,PUNO,03,CARABAYA,09,SAN GABAN,16831,00048,5, ,1,3,7,50.0595238095238,1, ,1,1,0,0,0,560,0, , ,2, ,0,0,240,0,0,0,0,0,800,30, , ,0,0,0,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,30,830, 
2018,21,PUNO,03,CARABAYA,09,SAN GABAN,16831,00054,6, ,1,3,7,50.0595238095238,1, ,1,0,0,0,0,0,0, , , , ,0,0,320,0,0,0,0,0,320, , , , , , , , , , , , , , , , , , , , , , , ,320, 
2018,21,PUNO,03,CARABAYA,09,SAN GABAN,16831,00069,7, ,1,3,7,50.0595238095238,1, ,1,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,0,20,20, , , , , , , , , , , , , , , , , , , , , , , ,20, 
2018,21,PUNO,03,CARABAYA,09,SAN GABAN,16831,00079,8, ,1,3,7,50.0595238095238,1, ,1,1,0,0,0,0,0, , , , ,0,0,0,0,0,0,0,110,110,60, , ,0,0,0,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,60,170, 
2018,21,PUNO,03,CARABAYA,09,SAN GABAN,16831,00085,9, ,1,3,7,50.0595238095238,1, ,1,1,0,0,0,0,0, , , , ,0,0,64,0,0,0,0,0,64,240, , ,0,0,0,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,240,304, 
2018,21,PUNO,03,CARABAYA,09,SAN GABAN,16831,00090,10, ,1,3,7,50.0595238095238,1, ,1,1,0,0,0,0,0, , , , ,0,0,280,0,0,0,0,0,280,330, , ,0,0,0,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,330,610, 
2018,21,PUNO,03,CARABAYA,09,SAN GABAN,16831,00099,11, ,1,3,7,50.0595238095238,1, ,1,1,600,0,0,0,0, , , , ,0,0,0,0,0,0,0,30,630,240, , ,0,0,0,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,240,870, 
2018,21,PUNO,03,CARABAYA,09,SAN GABAN,16831,00104,12, ,1,3,7,50.0595238095238,1, ,1,1,0,0,0,400,120, , ,10,3,0,0,0,110,0,0,390,60,1080,190, , ,0,0,0,5,0,0,0,0,0, , , , ,0,0,0,0,0,0,195,1275, 
2018,21,PUNO,03,CARABAYA,09,SAN GABAN,16831,00113,13, ,1,3,7,50.0595238095238,1, ,1,1,0,0,0,0,0, , , , ,0,0,120,0,0,0,0,0,120,90, , ,0,0,0,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,90,210, 
