ANIO,CCDD,NOMBREDD,CCPP,NOMBREPV,CCDI,NOMBREDI,CONGLOMERADO,NSELUA,UA,RESFIN,REGION,DOMINIO,FACTOR,CODIGO,P102_1,P102_2,P1001A_1,P1001A_2A_1,P1001A_2A_2,P1001A_2B_1,P1001A_2B_2,P1001A_2A_1C,P1001A_2A_2C,P1001A_2B_1C,P1001A_2B_2C,P1001A_3,P1001A_4,P1001A_5,P1001A_5A,P1001A_5B,P1001A_6A,P1001A_6B,P1001A_6C,P1001A_TOTAL,P1002B_1,P1002B_2,P1002B_3,P1002B_4,P1002B_5,P1002B_6,P1002B_7A_1,P1002B_7A_2,P1002B_7B_1,P1002B_7B_2,P1002B_7A_1C,P1002B_7A_2C,P1002B_7B_1C,P1002B_7B_2C,P1002B_8,P1002B_9,P1002B_9A,P1002B_9B,P1002B_10A,P1002B_10B,P1002B_TOTAL,P1000_TOTAL,OMICAP1000
2021,21,PUNO,03,CARABAYA,09,SAN GABAN,16828,00019,4,1,3,7,54.7628205128205,1,1,1,0,0,0,0,0, , , , ,0,0,0,0,0,0,0,0,0,208,0,0,18,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,226,226, 
2021,21,PUNO,03,CARABAYA,09,SAN GABAN,16828,00029,5,1,3,7,54.7628205128205,1,1,0,0,0,0,10000,0, , ,5, ,0,0,0,250,0,0,0,0,10250, , , , , , , , , , , , , , , , , , , , , ,10250, 
2021,21,PUNO,03,CARABAYA,09,SAN GABAN,16828,00032,6,1,3,7,54.7628205128205,1,1,1,0,0,0,700,360, , ,2,3,0,0,0,0,0,0,0,0,1060,350,0,0,5,0,0,0,0,0,0, , , , ,0,0,0,0,0,3,358,1418, 
2021,21,PUNO,03,CARABAYA,09,SAN GABAN,16828,00040,7,1,3,7,54.7628205128205,1,1,1,0,0,0,0,2550, , , ,13,0,0,0,3000,0,0,160,0,5710,1600,0,0,40,0,0,0,0,0,0, , , , ,0,0,0,0,0,343,1983,7693, 
2021,21,PUNO,03,CARABAYA,09,SAN GABAN,16828,00047,8,1,3,7,54.7628205128205,1,1,1,0,0,0,0,300, , , ,3,0,0,0,0,0,0,0,0,300,1440,0,0,0,0,0,0,0,0,0, , , , ,0,0,0,0,0,358,1798,2098, 
2021,21,PUNO,03,CARABAYA,09,SAN GABAN,16828,00049,9,1,3,7,54.7628205128205,1,1,1,100,0,0,630,1575, , ,2,5,0,0,0,0,0,0,16,0,2321,300,0,0,0,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,300,2621, 
2021,21,PUNO,03,CARABAYA,09,SAN GABAN,16828,00059,10,1,3,7,54.7628205128205,1,1,1,0,0,0,0,0, , , , ,0,0,0,2500,0,0,64,0,2564,1080,0,0,0,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,1080,3644, 
2021,21,PUNO,03,CARABAYA,09,SAN GABAN,16828,00070,11,1,3,7,54.7628205128205,1,1,1,0,0,0,0,0, , , , ,0,0,0,0,0,0,0,0,0,600,0,0,0,0,0,0,0,0,0, , , , ,0,0,0,0,0,50,650,650, 
2021,21,PUNO,03,CARABAYA,09,SAN GABAN,16828,00077,12,1,3,7,54.7628205128205,1,1,1,0,0,0,0,0, , , , ,0,0,0,0,0,0,0,0,0,450,0,0,0,0,0,0,0,0,0, , , , ,0,0,0,0,0,50,500,500, 
2021,21,PUNO,03,CARABAYA,09,SAN GABAN,16828,00091,14,1,3,7,54.7628205128205,1,1,1,0,0,0,0,0, , , , ,0,0,980,2000,0,0,1152,0,4132,700,0,0,20,0,0,0,0,0,0, , , , ,0,0,0,0,0,20,740,4872, 
