ANIO,CCDD,NOMBREDD,CCPP,NOMBREPV,CCDI,NOMBREDI,CONGLOMERADO,NSELUA,UA,RESFIN,REGION,DOMINIO,FACTOR,CODIGO,P101A,P102_1,P102_2,P1001A_1,P1001A_2A_1,P1001A_2A_2,P1001A_2B_1,P1001A_2B_2,P1001A_2A_1C,P1001A_2A_2C,P1001A_2B_1C,P1001A_2B_2C,P1001A_3,P1001A_4,P1001A_5,P1001A_5A,P1001A_5B,P1001A_6A,P1001A_6B,P1001A_6C,P1001A_TOTAL,P1002B_1C,P1002B_1D,P1002B_1A,P1002B_1B,P1002B_2,P1002B_3,P1002B_4,P1002B_5,P1002B_6,P1002B_7A_1,P1002B_7A_2,P1002B_7B_1,P1002B_7B_2,P1002B_7A_1C,P1002B_7A_2C,P1002B_7B_1C,P1002B_7B_2C,P1002B_8,P1002B_9,P1002B_9A,P1002B_9B,P1002B_9C,P1002B_10A,P1002B_10B,P1002B_TOTAL,P1000_TOTAL,OMICAP1000
2022,21,PUNO,03,CARABAYA,09,SAN GABAN,16829,00091,7,1,3,7,37.3777777777778,1, ,1,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,0,60,60, , , , , , , , , , , , , , , , , , , , , , , , , ,60, 
2022,21,PUNO,03,CARABAYA,09,SAN GABAN,16829,00092,8,1,3,7,37.3777777777778,1, ,1,0,0,0,0,2800,0, , ,5, ,0,0,0,4200,0,0,60,0,7060, , , , , , , , , , , , , , , , , , , , , , , , , ,7060, 
2022,21,PUNO,03,CARABAYA,09,SAN GABAN,16829,00107,9,1,3,7,37.3777777777778,1, ,1,1,0,0,0,3000,0, , ,4, ,0,0,0,0,0,0,0,0,3000,2400,900, , ,0,0,0,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,300,3600,6600, 
2022,21,PUNO,03,CARABAYA,09,SAN GABAN,16829,00109,10,1,3,7,37.3777777777778,1, ,1,1,0,0,0,1400,0, , ,4, ,0,0,0,0,0,0,0,240,1640,4680,0, , ,0,0,0,10,0,0,0,0,0, , , , ,0,0,0,0,0,0,0,4690,6330, 
2022,21,PUNO,03,CARABAYA,09,SAN GABAN,16829,00111,11,1,3,7,37.3777777777778,1, ,1,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,0,50,50, , , , , , , , , , , , , , , , , , , , , , , , , ,50, 
2022,21,PUNO,03,CARABAYA,09,SAN GABAN,16829,00142,12,1,3,7,37.3777777777778,1, ,1,0,0,0,0,700,0, , ,2, ,0,0,0,0,0,25,100,0,825, , , , , , , , , , , , , , , , , , , , , , , , , ,825, 
2022,21,PUNO,03,CARABAYA,09,SAN GABAN,16829,00155,13,1,3,7,37.3777777777778,1, ,1,0,0,0,0,320,0, , ,2, ,0,0,0,0,0,0,0,0,320, , , , , , , , , , , , , , , , , , , , , , , , , ,320, 
2022,21,PUNO,03,CARABAYA,09,SAN GABAN,16829,00159,14,1,3,7,37.3777777777778,1, ,1,1,0,0,0,0,0, , , , ,0,0,500,0,0,0,25,0,525,800,0, , ,0,0,0,20,0,0,0,0,0, , , , ,0,0,0,0,0,0,0,820,1345, 
2022,21,PUNO,03,CARABAYA,09,SAN GABAN,16829,00175,15,1,3,7,37.3777777777778,1, ,1,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,0,150,150, , , , , , , , , , , , , , , , , , , , , , , , , ,150, 
2022,21,PUNO,03,CARABAYA,09,SAN GABAN,16833,00003,1,1,3,7,37.3777777777778,1, ,1,0,0,0,0,1200,0, , ,2, ,0,0,2250,0,0,0,0,0,3450, , , , , , , , , , , , , , , , , , , , , , , , , ,3450, 
2022,21,PUNO,03,CARABAYA,09,SAN GABAN,16833,00008,2,1,3,7,37.3777777777778,1, ,1,1,0,0,0,0,0, , , , ,0,0,0,1000,0,0,100,0,1100,1200,1080, , ,0,0,10,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,0,2290,3390, 
2022,21,PUNO,03,CARABAYA,09,SAN GABAN,16833,00032,3,1,3,7,37.3777777777778,1, ,1,1,0,0,0,0,0, , , , ,0,0,0,0,0,0,0,0,0,3600,960, , ,0,0,15,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,100,4675,4675, 
2022,21,PUNO,03,CARABAYA,09,SAN GABAN,16833,00068,4,1,3,7,37.3777777777778,1, ,1,1,0,0,0,0,60, , , ,1,0,0,0,0,0,0,0,0,60,1600,0, , ,10,14,15,10,0,0,0,0,0, , , , ,0,0,0,0,0,0,10,1659,1719, 
2022,21,PUNO,03,CARABAYA,09,SAN GABAN,16833,00093,5,1,3,7,37.3777777777778,1, ,1,0,0,0,0,600,300, , ,4,3,0,0,500,0,0,0,0,0,1400, , , , , , , , , , , , , , , , , , , , , , , , , ,1400, 
2022,21,PUNO,03,CARABAYA,09,SAN GABAN,16833,00096,6,1,3,7,37.3777777777778,1, ,1,0,0,0,0,120,240, , ,1,2,0,0,250,0,0,0,0,0,610, , , , , , , , , , , , , , , , , , , , , , , , , ,610, 
2022,21,PUNO,03,CARABAYA,09,SAN GABAN,16833,00106,7,1,3,7,37.3777777777778,1, ,1,1,0,0,0,120,60, , ,2,1,0,0,280,0,0,0,0,0,460,2000,0, , ,0,28,40,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,0,2068,2528, 
2022,21,PUNO,03,CARABAYA,09,SAN GABAN,16833,00112,8,1,3,7,37.3777777777778,1, ,1,1,0,0,0,360,120, , ,3,2,0,0,500,0,0,0,0,0,980,2000,0, , ,0,0,15,20,0,0,0,0,0, , , , ,0,0,0,0,0,0,0,2035,3015, 
2022,21,PUNO,03,CARABAYA,09,SAN GABAN,16833,00113,9,1,3,7,37.3777777777778,1, ,1,1,0,0,0,120,0, , ,2, ,0,0,250,0,0,0,0,0,370,1600,0, , ,0,0,50,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,30,1680,2050, 
2022,21,PUNO,03,CARABAYA,09,SAN GABAN,16833,00141,10,1,3,7,37.3777777777778,1, ,1,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,0,45,45, , , , , , , , , , , , , , , , , , , , , , , , , ,45, 
2022,21,PUNO,03,CARABAYA,09,SAN GABAN,16833,00155,11,1,3,7,37.3777777777778,1, ,1,1,0,0,0,1640,0, , ,4, ,0,0,0,0,0,0,90,24,1754,2520,900, , ,0,0,35,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,0,3455,5209, 
2022,21,PUNO,03,CARABAYA,09,SAN GABAN,16833,00166,12,1,3,7,37.3777777777778,1, ,1,1,0,0,0,7800,0, , ,20, ,0,0,0,0,0,500,180,0,8480,2400,3000, , ,0,0,10,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,15,5425,13905, 
2022,21,PUNO,03,CARABAYA,09,SAN GABAN,16833,00172,13,1,3,7,37.3777777777778,1, ,1,1,0,0,0,300,200, , ,2,2,0,0,0,0,0,600,210,95,1405,4800,960, , ,0,0,80,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,21,5861,7266, 
2022,21,PUNO,03,CARABAYA,09,SAN GABAN,16833,00194,14,1,3,7,37.3777777777778,1, ,1,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , ,0, 
2022,21,PUNO,03,CARABAYA,09,SAN GABAN,16833,00197,15,1,3,7,37.3777777777778,1, ,1,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , ,0, 
2022,21,PUNO,03,CARABAYA,04,COASA,16849,00002,1,1,2,6,162.719047619048,1, ,1,1,0,0,0,100,0, , ,1, ,0,0,0,0,0,0,0,0,100,720,720, , ,0,0,0,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,0,1440,1540, 
2022,21,PUNO,03,CARABAYA,04,COASA,16849,00008,2,1,2,6,162.719047619048,1, ,1,1,0,0,0,800,0, , ,4, ,0,0,1500,0,0,0,60,50,2410,800,0, , ,0,0,20,10,0,0,0,0,0, , , , ,0,0,0,0,0,0,0,830,3240, 
2022,21,PUNO,03,CARABAYA,04,COASA,16849,00013,3,1,2,6,162.719047619048,1, ,1,1,0,0,0,0,2500, , , ,3,0,0,420,0,0,0,0,0,2920,600,0, , ,0,0,0,10,0,0,0,0,0, , , , ,0,0,0,0,0,0,0,610,3530, 
2022,21,PUNO,03,CARABAYA,04,COASA,16849,00025,4,1,2,6,162.719047619048,1, ,1,0,0,0,0,700,700, , ,2,2,0,0,400,0,0,0,0,0,1800, , , , , , , , , , , , , , , , , , , , , , , , , ,1800, 
2022,21,PUNO,03,CARABAYA,04,COASA,16849,00027,5,1,2,6,162.719047619048,1, ,1,1,0,0,0,420,525, , ,4,3,0,0,320,0,0,0,0,0,1265,2000,0, , ,0,0,0,0,0,0,0,0,105, , , ,1,0,0,0,0,0,0,0,2105,3370, 
2022,21,PUNO,03,CARABAYA,04,COASA,16849,00038,6,1,2,6,162.719047619048,1, ,1,1,0,0,0,240,270, , ,2,3,0,0,2100,0,0,0,0,0,2610,600,1200, , ,50,0,50,200,0,0,0,0,0, , , , ,50,0,0,0,0,0,0,2150,4760, 
2022,21,PUNO,03,CARABAYA,04,COASA,16849,00041,7,1,2,6,162.719047619048,1, ,1,1,0,0,0,320,0, , ,1, ,0,0,0,0,0,0,0,0,320,1200,0, , ,0,0,0,0,0,0,0,100,0, , ,1, ,0,0,0,0,0,0,0,1300,1620, 
