ANIO,CCDD,NOMBREDD,CCPP,NOMBREPV,CCDI,NOMBREDI,CONGLOMERADO,NSELUA,UA,ESTRATO,RESFIN,REGION,DOMINIO,FACTOR,CODIGO,P102_1,P102_2,P1001A_1,P1001A_2A_1,P1001A_2A_2,P1001A_2B_1,P1001A_2B_2,P1001A_2A_1C,P1001A_2A_2C,P1001A_2B_1C,P1001A_2B_2C,P1001A_3,P1001A_4,P1001A_5,P1001A_5A,P1001A_5B,P1001A_6A,P1001A_6B,P1001A_6C,P1001A_TOTAL,P1002B_1,P1002B_1A,P1002B_1B,P1002B_2,P1002B_3,P1002B_4,P1002B_5,P1002B_6,P1002B_7A_1,P1002B_7A_2,P1002B_7B_1,P1002B_7B_2,P1002A_7A_1C,P1002A_7A_2C,P1002A_7B_1C,P1002A_7B_2C,P1002B_8,P1002B_9,P1002B_9A,P1002B_9B,P1002B_10A,P1002B_10B,P1002B_TOTAL,P1000_TOTAL,OMICAP1000
2016,21,PUNO,03,CARABAYA,09,SAN GABAN,16833,00087,6, ,1,3,7,50.0595238095238,1,1,1,0,0,0,80,30, , ,2,1,0,0,72,0,0,0,0,12,194,6000, , ,500,0,110,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,6610,6804, 
2016,21,PUNO,03,CARABAYA,09,SAN GABAN,16833,00106,7, ,1,3,7,50.0595238095238,1,1,1,750,0,0,80,30, , ,2,1,0,0,60,0,0,0,0,0,920,600, , ,0,50,150,0,0,0,0,0,0, , , , ,0,0,0,0,0,220,1020,1940, 
2016,21,PUNO,03,CARABAYA,09,SAN GABAN,16833,00130,8, ,1,3,7,50.0595238095238,1,1,1,0,0,0,0,0, , , , ,0,0,81,0,0,0,0,0,81,1500, , ,0,0,0,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,1500,1581, 
2016,21,PUNO,03,CARABAYA,09,SAN GABAN,16833,00140,9, ,1,3,7,50.0595238095238,1,1,0,0,0,0,80,0, , ,1, ,0,0,0,0,0,0,0,32,112, , , , , , , , , , , , , , , , , , , , , , , ,112, 
2016,21,PUNO,03,CARABAYA,09,SAN GABAN,16833,00162,10, ,1,3,7,50.0595238095238,1,1,0,0,0,0,80,0, , ,2, ,0,0,0,0,0,0,0,33,113, , , , , , , , , , , , , , , , , , , , , , , ,113, 
2016,21,PUNO,03,CARABAYA,09,SAN GABAN,16833,00188,11, ,1,3,7,50.0595238095238,1,1,1,0,0,0,120,0, , ,3, ,0,0,0,0,0,0,0,20,140,240, , ,0,0,12,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,252,392, 
2016,21,PUNO,03,CARABAYA,09,SAN GABAN,16833,00198,12, ,1,3,7,50.0595238095238,1,1,1,0,0,0,120,0, , ,2, ,0,0,0,0,0,0,0,15,135,320, , ,0,0,15,10,0,0,0,0,0, , , , ,0,0,0,0,0,0,345,480, 
2016,21,PUNO,03,CARABAYA,09,SAN GABAN,16833,00207,13, ,1,3,7,50.0595238095238,1,1,1,0,0,0,80,0, , ,2, ,0,0,0,0,0,0,0,36,116,320, , ,0,0,0,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,320,436, 
2016,21,PUNO,03,CARABAYA,09,SAN GABAN,16833,00209,14, ,1,3,7,50.0595238095238,1,1,1,0,0,0,0,0, , , , ,0,0,0,0,0,0,0,0,0,180, , ,0,0,10,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,190,190, 
2016,21,PUNO,03,CARABAYA,07,ITUATA,16863,00002,1, ,1,2,6,162.719047619048,1,1,1,0,0,0,0,0, , , , ,0,0,90,0,0,0,0,0,90,600, , ,5,0,20,0,20,0,0,0,0, , , , ,0,0,0,0,0,0,645,735, 
